"","name","name","common","area","stock","stock_short","sex","a","b","lmax","linf","l50","a50","t0","k","h_Myers","h_Myers_source","source.a","source.b","Lmax","source.Linf","source.L50","source.A50","source.t0","source.K","Comment","s","minfbar","maxfbar","M","M_mat","MK","amax"
"18",18,"Mustelus asterias","Starry smooth-hound","Widely","sdv.27.nea","sdv","F",0.001,3.27,124,123.5,81.9,NA,NA,0.15,NA,"","Farrell et al 2010","Farrell et al 2010","Farrell et al 2010","Farrell et al 2010","McCully-Phillips 2015","","Farrell et al 2010","Farrell et al 2010","",0.75,2,11,0.277054721049499,0.148456692397955,0.989711282653035,20
"19",19,"Raja clavata","Thornback ray","Celtic Seas","rjc.27.afg","rjc2","F",0.0024,3.2653,104,139.5,71.8,6.13,-1.84,0.09,NA,"","Silva et al 2013","Silva et al 2013","Gallagher et al 2005","Gallagher et al 2005","Gallagher et al 2005","Gallagher et al 2005","Gallagher et al 2005","Gallagher et al 2005","",0.75,2,15,0.14013227677534,0.0979115603774451,1.08790622641606,32
"20",20,"Raja clavata","Thornback ray","North Sea","rjc.27.347d","rjc","F",0.0045,3.0686,94,118,77.1,NA,-0.88,0.14,NA,"","Silva et al 2013","Silva et al 2013","Walker 1999","Walker 1999","Walker 1999","","Walker 1999","Walker 1999","",0.75,2,13,0.218501320437168,0.142679371164387,1.01913836545991,21
"21",21,"Sardina pilchardus","Pilchard","Celtic Seas","sardina_pilchardus","sar","C",0.0053,3.162,27.6,22,14.3,NA,NA,0.6,0.34,"species","Silva et al 2013","Silva et al 2013","Silva et al 2008","Silva et al 2008","Silva et al 2013a","","","Silva et al 2008","Data from Cantabrian Sea & N Portugal",0.75,1,3,0.86392128932217,0.81034962012586,1.35058270020977,5
"22",22,"Zeus faber","John Dory","Celtic Seas","zeus_faber","jnd","F",0.0399,2.754,NA,50.8,34.5,NA,-1.47,0.47,NA,"","Silva et al 2013","Silva et al 2013","","Dunn 2001","Dunn 2001","","Dunn 2001","Dunn 2001","",0.75,1,3,0.521356488069488,0.519936171647446,1.10624717371797,5
"23",23,"Chelidonichtys lucerna","Tub gurnard","Celtic Seas","chelidonichtys_lucerna","gut","F",0.0043,3.21,NA,66.8,40.1,NA,-0.46,0.32,NA,"","Baron 1985a","Baron 1985a","","Baron 1985a","Baron 1985b","","Baron 1985a","Baron 1985a","Biscay data, few large old",0.75,1,5,0.439815998339287,0.367177422999326,1.14742944687289,9
"24",24,"Spondyliosoma cantharus","Black sea-bream","Celtic Seas","spondyliosoma_cantharus","sbb","F",0.0148,3.004,NA,41.25,22,NA,-1.16,0.22,0.95,"family","Silva et al 2013","Silva et al 2013","","Perdou & Nedelec 1982","Soletchnik 1982","","Perdou & Nedelec 1982","Perdou & Nedelec 1982","Channel/W Channel data",0.75,1,5,0.328730281222561,0.284844662647693,1.29474846658042,13
"25",25,"Anarchias lupus","Wolffish","North Sea","anarchias_lupus","wlf","F",0.0046,3.185,NA,115.1,21.5,3.8,-0.39,0.11,NA,"","Silva et al 2013","Silva et al 2013","","Liao and Lucas 2000","Gunnarsson et al 2006","Gunnarsson et al 2006","Liao and Lucas 2000","Liao and Lucas 2000","E Iceland L50",0.75,1,10,0.215320825444796,0.149074990849133,1.35522718953757,27
"26",26,"Scophthalmus rhombus","Brill","North Sea","scophthalmus_rhombus","bll","F",0.014,3.01,NA,58,31.3,1.6,-0.27,0.38,NA,"","Silva et al 2013","Silva et al 2013","","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","Van der Hammen et al 2013","",0.75,1,4,0.517430827588179,0.481210798978778,1.26634420783889,8
"27",27,"Argentina silus","Greater argentine","Widely","arg-comb-ex5.","arg","C",0.005,3.075,NA,44,38,8.2,NA,0.23,NA,"","Silva et al 2013","Silva et al 2013","","Magnussen 2007","Magnussen 2007","Magnussen 2007","","Magnussen 2007","",0.75,3,11,0.422998748854181,0.240060424281433,1.04374097513667,13
"28",28,"Engraulis encrasicolus","Anchovy","Biscay-Iberia","ane-pore","ane","C",0.005,3.107,23,23,16.8,NA,NA,0.44,0.47,"species","Silva et al 2013","Silva et al 2013","Silva et al 2008","","Silva et al 2006","","","Silva et al 2008","N France, NE Atlantic data",0.75,1,4,0.694721187007364,0.570952954719288,1.29762035163475,7
"29",29,"Lophius budegassa","Black anglerfish","Celtic Seas","ang-78ab_2","ang3","F",0.0259,2.858,NA,110.1,54.8,9,0.39,0.08,0.63,"species","Silva et al 2013","Silva et al 2013","","Landa et al 1998","Duarte et al 1998","Duarte et al 1998","Landa et al 1998","Landa et al 1998","VIIIc,Ixa data",0.75,4,20,0.253646097846152,0.0918456556585406,1.14807069573176,38
